ID,,Time,Coordinates,Latitude,Longitude,Pedestrian strip width,Strip services ,Material,Status of maintenance,Continuity,Mobiles obstacles,Permanent obstacles,Vertical Obstacles,Street furniture,Trees,Planters,"Street lighting
",Facades activity,Percentage of parking accesses,visibilidad de fachada,Score,,,,
671,,12/08/2022 12:04:47.887 CST,POINT Z (-99.13725715 19.42322937 0.000),19.42,-99.14,0.5 (1.2 m a 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),0 (hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0 (menos de la mitad tiene arboles,0 (menos de la mitad cuenta con jardineras),1 (hay postes que miran a la acera en todo el tramo),0 (no existen locales),0 (existe uno o mas que ocupan el 30% o mas),0 (menos de la mitad son visibles),6,,,,
672,,12/08/2022 12:04:51.783 CST,POINT Z (-99.13693931 19.42286732 0.000),19.42,-99.14,0.5 (1.2 m a 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0 (menos de la mitad tiene arboles,0 (menos de la mitad cuenta con jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),0.5 (mas de la mitad son visibles),8.5,,,,
673,,12/08/2022 12:06:34.119 CST,POINT Z (-99.13640857 19.42267445 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0.5 (la mitad tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),1 (no existe o uno ocupa menos del 30% del lote),0 (menos de la mitad son visibles),10.5,,,,
680,,12/08/2022 12:14:12.171 CST,POINT Z (-99.13584698 19.42310194 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),0 (hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0 (menos de la mitad tiene arboles,0 (menos de la mitad cuenta con jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),1 (la mayoria es visible),8.5,,,,
693,,12/08/2022 12:28:50.771 CST,POINT Z (-99.13510066 19.42307064 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),0 (hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0 (menos de la mitad tiene arboles,0 (menos de la mitad cuenta con jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),1 (no existe o uno ocupa menos del 30% del lote),0.5 (mas de la mitad son visibles),9,,,,
704,,12/08/2022 12:55:01.396 CST,POINT Z (-99.13631435 19.42385701 0.000),19.42,-99.14,0.5 (1.2 m a 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),1 (no hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0 (menos de la mitad cuenta con jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),1 (no existe o uno ocupa menos del 30% del lote),0 (menos de la mitad son visibles),10.5,,,,
707,,12/08/2022 12:59:53.789 CST,POINT Z (-99.13731582 19.42400847 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0.5 (la mitad tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),1 (no existe o uno ocupa menos del 30% del lote),0.5 (mas de la mitad son visibles),11,,,,
708,,12/08/2022 12:59:57.174 CST,POINT Z (-99.13802493 19.42404262 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),1 (no hay desniveles),0 (hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),1 (una o mas bancas),1 (toda la acera tiene arboles),1 (toda la acera tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),0 (menos de la mitad son visibles),11.5,,,,
714,,12/08/2022 13:10:30.776 CST,POINT Z (-99.14027262 19.42429526 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0 (menos de la mitad cuenta con jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),1 (no existe o uno ocupa menos del 30% del lote),1 (la mayoria es visible),11,,,,
717,,12/08/2022 13:15:05.453 CST,POINT Z (-99.14151952 19.42439707 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),0 (hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),1 (una o mas bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0.5 (la mitad tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),0.5 (mas de la mitad son visibles),10,,,,
721,,12/08/2022 13:25:12.029 CST,POINT Z (-99.14116479 19.42488053 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),1 (una o mas bancas),1 (toda la acera tiene arboles),0.5 (la mitad tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),0.5 (mas de la mitad son visibles),11.5,,,,
723,,12/08/2022 13:29:02.276 CST,POINT Z (-99.13863648 19.42451185 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0.5 (la mitad tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),1 (no existe o uno ocupa menos del 30% del lote),0 (menos de la mitad son visibles),10.5,,,,
